protocol_number,speaker,text
1,"ג' גל - היו""ר","2 - פתיחה ל יצא טוב החוק - • ' . - , דבר, בו אני פותח את ישיבת הוועדה. לפנינו מונחת הצעת חוק החשמל. ברצוני לומר ו לבקש מכס שתאזינו בלי לתת אינטרפרטציות מעבר למה שאני אומר. אני חושב, שלהביא חוק חשמל - אדוני השר, אני אומר זאת לך, כנציג הממשלה, ואני רכרל להניח שבממשלה ודאי היו כאלה שדאגו שזה יהיה לאט או יהיה מהר אחרי שבעים שנה של זכיון, חודש לפני שהזכיון תם זה דבר לא תקין וזה דבר שהוא כמעט בחזקת דבר שלא מתקבל על הדעת. כשאומרים לי בממשלה: ""אנו עסקנו בזה שנה"" ואמרו לי זאת אתמול ושלשום, ומצפים שוועדת הכספים תדון בזה חודש, אז אני הייתי מציע לממשלה להב י א ז את עכש י ך לקר י אה שניה ושלישית ולוותר על האחריות שלנו בענין. מרגע שהבאתם את החוק לכנסת, אתם גמרתם את תפקידכם אם החוק ייצא פגום זו תהיה אשמתנו ראס הוא זו תהיה זכותנו מסביב לחוק יש מהומה שלמה בין השאר בגלל המועד הגיע לכנסת. יש שפע מהומות, ואני יכול להניח שחלק מהמהומות הן לענין וחלק הן ודאי לא לענין, וכמובן שגם במועד כזה ובלחץ כזה עוסקים גס בפרוצדורה ו באלף ואחד דברים, ועקבתם אחרי מה שקרה. חוק החשמל נרגע לכל א זרח במד י נת ישראל. הוא מגיע לכל בית, לכל מפעל ולשירותים. הוא מגיע כמעט לכולם, אם כי ישנם פה ושם גם כאלה שחיים מחשמל משלהם. החוק ראוי שיוקדשו לו כל הזמן הנדרש והחשיפה הנדרשת. אנו רואים בהליך החקיקה גם מסגרת, בה ועדת הכספים מהווה איזו שהיא במה ציבורית לדיון ציבורי; ר רצאות מכאן הודעות, אנו קוראים מה שכותבים, אנו מזמינים אנשים והדבר הזה חשוב. הבירור חשוב. אני מתכוון לטפל בחוק הזה במלוא הרצינות. אני מודע לזה, שאפשר לעשות דברים רציניים גם בארבעה שבועות, אך אני לא אעשה זאת בחיפזון. כולנו יודעים, לנו אילוץ נוסף ב-5 במרץ הזכיון פג. אנו צריכים להלך בין שני האילוצים האלה. - - שיש על כן, בישיבות הראשונות, וזו הישיבה השניה, נעשה שני דברים: נשמע על החוק ונשמע את הדעות השונות עליו, ואחר כך נקדיש דיון מיוחד לשאלה מה המשמעות אם לא הספקנר לחוקק עד ה-5 למרץ. היום, אנו רוצים לדעת מה משמעות הדבר הזה. אם יתברר שהמשמעות היא קטסטרופה, אנו נעבוד יום ולילה, אם יתברר שאפשר לחיות גם אחרים, אנו נעבוד בקצב שראוי לחוק מהסוג הזה. אין לי שום עמדה מראש: לא נגד ולא אני נכנס לחוק הזה פתוח, ואני בטוח שגם ידידי חבר-הכנסת דן תיכון עושה אותו הדבר. בעד שהשמים שאמרתי לא הקיים?"" במקרה • מפתרונות את כאשר מדברים על מועד פקיעת הזכיון, למעשה יש לנו שלוש אפשרויות: אפשרות אחת היא לחוקק בקצב הנדרש, ואם יעבור המועד בו תם הזכיון מי שהן יבוא ך י ךכ רח אולי לא ר פלר ו אפשר להתקדם עם כמה פתרונות כאלה ואחרים. אפשרות שניה, כפי היא לעבוד יום ולילה. אפשרות שלישית היא לבוא ולומר: ""החוק הגיע מאוחר. נספיק לחוקקו מהן פרק הזמן שצריך לעשות חוק לתקופת מעבר של המשך הזכיון אנו נבחן את שלוש האופציות האלה, ובאחריות נבחר את האופציה הכי מתאימה שלפנינו. אני מעריך, שאנו נבדוק את החלופות האלה ביום שני. אני אומר אותן היום, כדי שכל מי שנוגע לחוק יתכונן, יחשוב, יכין טיוטות, יכין דפי עבודה ויבדוק זאת עם היועצים המשפטים והכלכליים ביומיים שנותרו עד יום שני, על מנת שלא יבואן ביום שני ויאמרו: ""לא ידענו, לא שמענו ולא ראינו"". לגבי ' . הוא החוק עצמו ממה שלמדתי בוועדת הכספים, במרוצת השנים שאני נמצא כאן, לעניות דעתי את מערכת החשמל בישראל צריך לבחון בשלושה פרמטרים: פרמטר אחד העלות לצרכן והשוואות בינלאומיות, ופרמטר שני הוא האמינות באספקה אני מוכרח לומר שאחרי הדיון האחרון שהיה כאן, כשעיקר הדיון הוקדש לעלות ולמחיר, מי שהן ' זרק' משהו על אמינות האספקה ואפילו זילזלו בו קצת. למחרת הלכתי למפעל פלסטיקה בקיבוץ מגל ולא הספקתי להכנס למפעל והזרם כבה, אמר לי מנהל המפעל: ""עכש י ר תעבורנה כמה שעות, עד שאחזור לעבודה. מה מעניין אותי אם הייתי משלם גרוש יותר או הוועדה המשותפת לחוק משק החשמל 08/02/96 3 - גרוש - - שזה רק פחות, כש' תוקעים ' אותי מדי פעם והמפעל נעמד?"". הוא לא המפעל היחידי קורה לו. כשאני אמרתי: ""עלות"" כדבר ראשון ו""אמינות באספקה"" כדבר שני, אינני אומר זאת לפי סדר העדיפות. אבל, מי שחושב שאפשר לקנות אותנו במובן של שכנ ןע במחיר, צריך להב י א בחשבון שגם האמינות היא פקטור. הדבר השלישי הוא מתי מקבלים חיבור. האם מקבלים חיבור כאשר המפעל יכול להתחיל לעבוד או בפיגור של חצי אלה של ושת הפרמטרים שנדמה לי שעל פיהם החוק, שמונח לפנינו, צריך להיבחן. צריך לבחון באיזו מידה הוא מבטיח, ששלושת הפרמטרים האלה מושגים בעשר הש נ ים הקרובות, כפ י שאתם מציעים, אולי ביותר שנים ואולי בפחות בצורה האופטימלית, כאשר נותנים לכל אחד מהמרכיבים האלה את המשקל הנכון. ' שנה? אני חוזר ואומר, שאנן נכנסים לנושא ללא דעה מוקדמת, אך אנו רוצים שהבירור יהיה ענייני, כך שכל מי שיש לו מה לומר יוכל לומר זאת, כדי שתהיה כאן התנגשות של דעות, התנגשות של מחשבות. לאחר מכן, אנו כחברי-כנסת, נעשה את המוטל עלינו. סדר הדיון אדוני השר אתם תציגו את החוק, אתה או כל מי שתרצה מאנשיך, ולאחר מכן, ניתן למשלחות ולאנשים נוספים לומר את דברם. ' • אי"
1,שר האנרגיה והתשתית ג' שגב,"אני אדבר באופן כללי לחלוטין. גם על דבריך וגם על החוק. לאחר מכן, אני רוצה ששלמה ברובנדר, ראש מינהל החשמל, ידבר על החוק ועל המשמעות של אי חקיקה. לאחר מכן, תמשיך עם השימוע שלך לפי איזה סדר שתרצה, כשאני מציע שאנשי חברת חשמל, בכל מקרה, יציגו את הנושא של משמעות אי חקיקה או איך עומדת חברת חשמל במצב של חקיקה ביום תום הזכיון. תחילה, הדבר האחרון שאני רוצה, כשר האנרגיה, הוא שוועדת כספים תעביר חוק לא טוב, וזאת לא רק מכבוד ועדת הכספים והכנסת, אלא גם בגלל הנושא הכבד והחשוב עוסקים בו נושא משק החשמל כשאנו יודעים שמשק החשמל שלנו עומד היום על קרוב ל-7,000 מגהוואט יצור בגלל הצמיחה המהירה והצמיחה העתידית המהירה של המשק שלנו. אנו הצבנו לעצמנו מטרות תכנוניות גבוהות מאד אנו מדברים על הכפלת רף גבוה מאד כמות היצור, דהיינו כ-12 אלף מגהוואט, תוך כ-8 עד 10 שנים, שזהו גידול גדול מאד. מדבר ים על שי פור הרשתות הקיימות, כאשר אנו יודעים היום שחברת חשמל נמצאת בפיגור מה בנושא תשתיות ההולכה בעיקר, ומדובר כאן גם בהשקעות כספיות גדולות רגם בעבודה שקשורה בתהליך תכנוני ארוך טווח. אנו אולי - - "" - שאנן גם כהקדמה נוספת, ברצוני לומר שאנו עוסקים כאן במשק חשמל. לא ה י יתי משווה את משק חשמל לבנק או לכל דבר אחר. יש לזכור, שמשק חשמל הוא משק כבד במובן זה שלגבי הקמת תחנה גדולה של גנרציה בפחם, מהתכנון ועד שהיא מתחילה ל יצר חשמל, על כעשור. כלומר, עשר שנים על הסקאלה הזו הן לא זמן ארוך בצורה קיצונית, בגלל אותה כבדות של מערכת, בגלל הסיבוך בבניה, בגלל הבעייתיות התכנונית ובגלל מדובר ביורוקרטיה סובבת. הערה כללית - - באמת אני לא רואה קשר, ואינני חושב שצריך לקשור, בין זמן חקיקה או זמן בדיקת חוק והכנתו לקריאה שניה ושלישית לבין משך הזכיון. הזכיון נקבע לשבעים שנה, היו אמורים להפסיקו לפני שישים שנה? היו אז מחוקקים את החוק במגבלות המשק באותו זמן. מה שצר יד לעמוד מול ע י נ י נ ו הוא לא אורך הזכיון ולא אורך העבודה במשרדים הרלוונטיים, דהיינו: משרד האוצר משרד המשפטים ומשרד האנרגיה, אלא לקיחת החוק, שהחלטנו עליך כחוק כללי שכן ניתן היה גם להכין חוק באמת מפורט שאינני יודע כמה שנים היה לוקח להכינו ולעבור עליו ובדיקת העקרונות, שדיברנו בשיחה המקדימה, כלומר בדיקה מעמיקה יותר של הנקודות ששנויות במחלוקת, ואינני חושב שכלל הנקודות שנויות במחלוקת. בחוק הזה ישנן באמת נקודות ספצ י פ י ות שהייתי מתיחס אליה כמחלוקת בתפישה ולא פחות מכך. כלומר, צריך השנויות במחלוקת, להתעסק באמת בנושאים האלה, - כמו המועד - היום, אנו נמצאים חמישה או ארבעה חודשים לפני הבחירות. אינני בטוח, הוועדה המשותפת לחוק משק החשמל 08/02/96 חצי 4 שניתן כל פעם להגיד לכנסת: ""כנסת, תשבתי חצי שנה"" או לומר: ""ממשלה, תפסיקי לתפקד שנה לפני הבחירות"" דהיינו בכל ארבע שנים של קדנציה אנו שישה חודשים לא עוסקים בנושא חקיקה."
1,"ג' גל - היו""ר","• יש לי הצעה, ואחר כך תעשה כרצונך. ברצוני להקדיש לנושא הזה ישיבה מיוחדת. אל תתחילו לערבב לנו את הדברים בראש."
1,שר האנרגיה והתשתית ג' שגב,"אני לא מערבב. אתן הקדמה, שהיא תשובה לחלק מהדברים שהעלית. '"
1,"ג' גל - היו""ר",החברים האחרים אחריך יעסקו רק בחוק.
1,שר האנרגיה והתשתית ג' שגב,"- הפריימרים - הם יעסקו רק בנושא הזה לחלוטין. אתה העלית נקודה ואני יודע את הבעייתיות שבזמן הזה, אך אני אומר שוב: ""האם הכנסת והממשלה יכולות להרשות לעצמן חצי שנה מתוך ארבע שנים לא לעסוק בעבודה שוטפת, בגלל התקופה הפריימריסטית, מצד אחד, או הבחירות, מצד שני?""."
1,ד' תיכון,"זה יחייב תגובה, אם אתה מתחיל את הדיון הזה. לזה צריך ישיבה מיוחדת. אם רוצה לעשות זאת היום, נעשה זאת. אתה"
1,שר האנרגיה והתשתית ג' שגב,"אני לא עושה דיון. דן, זה לא דיון."
1,"ג' גל - היו""ר",". חבר-הכנסת דן תיכון, כבר הגבת."
1,שר האנרגיה והתשתית ג' שגב,יושב-הראש גדליה גל העלה זאת ואמר שזה בעייתי
